date,store_name,rep_name,transaction_id,daily_traffic,plan_type,plan_revenue,magenta_migration,voice_lines,tablet_lines,home_internet,hsi_revenue,device_price,hour,is_weekend,age_band,accessory_attach,accessory_revenue,insurance_attach,insurance_revenue,monthly_store_goal
2025-11-01,Store A,Jasmine,T_00001,89,Metro $40,40,0,1,1,0,0.0,699.0,16,1,26-40,1,38.57,0,0.0,340
2025-11-01,Store A,Jasmine,T_00002,89,Magenta MAX,90,1,1,1,0,0.0,999.0,11,1,18-25,1,66.03,1,18.0,340
2025-11-01,Store A,Jasmine,T_00003,89,Metro $40,40,0,2,0,0,0.0,499.0,12,1,26-40,0,0.0,0,0.0,340
2025-11-01,Store A,Jasmine,T_00004,89,Metro $40,40,0,1,1,0,0.0,499.0,11,1,26-40,1,89.91,0,0.0,340
2025-11-01,Store A,Carlos,T_00005,89,Metro $40,40,0,1,0,0,0.0,499.0,11,1,41-60,0,0.0,1,18.0,340
2025-11-01,Store A,Jasmine,T_00006,89,Magenta,75,1,1,0,1,50.0,199.0,13,1,26-40,1,29.3,1,18.0,340
2025-11-01,Store A,Carlos,T_00007,89,Magenta,75,1,1,0,1,50.0,199.0,18,1,18-25,0,0.0,1,18.0,340
2025-11-01,Store A,Jasmine,T_00008,89,Metro Unlimited,60,0,1,0,0,0.0,299.0,12,1,41-60,1,59.05,1,18.0,340
2025-11-01,Store A,Jasmine,T_00009,89,Magenta,75,1,1,0,0,0.0,99.0,16,1,26-40,0,0.0,0,0.0,340
2025-11-01,Store A,Jasmine,T_00010,89,Metro $40,40,0,1,0,0,0.0,299.0,10,1,41-60,1,92.51,1,18.0,340
2025-11-01,Store A,Carlos,T_00011,89,Metro $40,40,0,2,0,0,0.0,99.0,13,1,26-40,0,0.0,0,0.0,340
2025-11-01,Store A,Jasmine,T_00012,89,Metro $40,40,0,2,0,0,0.0,299.0,12,1,18-25,0,0.0,0,0.0,340
2025-11-01,Store A,Carlos,T_00013,89,Metro $40,40,0,1,0,0,0.0,999.0,20,1,26-40,0,0.0,1,18.0,340
2025-11-01,Store A,Jasmine,T_00014,89,Metro Unlimited,60,0,1,0,0,0.0,99.0,12,1,18-25,1,36.39,1,18.0,340
2025-11-01,Store A,Jasmine,T_00015,89,Metro $40,40,0,2,0,0,0.0,99.0,13,1,26-40,1,72.24,1,18.0,340
2025-11-01,Store A,Jasmine,T_00016,89,Magenta MAX,90,1,2,1,0,0.0,199.0,11,1,26-40,0,0.0,0,0.0,340
2025-11-01,Store A,Jasmine,T_00017,89,Metro Unlimited,60,0,1,0,0,0.0,499.0,16,1,41-60,1,85.07,0,0.0,340
2025-11-01,Store A,Jasmine,T_00018,89,Magenta,75,1,1,1,0,0.0,99.0,20,1,18-25,0,0.0,1,18.0,340
2025-11-01,Store A,Jasmine,T_00019,89,Magenta,75,1,1,0,0,0.0,499.0,18,1,41-60,1,57.4,1,18.0,340
2025-11-01,Store A,Jasmine,T_00020,89,Metro Unlimited,60,0,1,0,0,0.0,499.0,19,1,60+,0,0.0,0,0.0,340
2025-11-01,Store A,Jasmine,T_00021,89,Magenta MAX,90,1,1,0,0,0.0,99.0,18,1,26-40,0,0.0,0,0.0,340
2025-11-01,Store A,Carlos,T_00022,89,Magenta,75,1,1,0,0,0.0,499.0,15,1,41-60,0,0.0,0,0.0,340
2025-11-01,Store A,Carlos,T_00023,89,Metro $40,40,0,1,0,0,0.0,999.0,12,1,41-60,1,55.91,0,0.0,340
2025-11-01,Store A,Carlos,T_00024,89,Magenta,75,1,1,0,0,0.0,99.0,20,1,26-40,0,0.0,0,0.0,340
2025-11-01,Store A,Carlos,T_00025,89,Magenta MAX,90,1,1,0,0,0.0,699.0,10,1,26-40,1,51.67,1,18.0,340
2025-11-01,Store A,Jasmine,T_00026,89,Metro $40,40,0,1,0,0,0.0,999.0,14,1,41-60,1,77.51,0,0.0,340
2025-11-01,Store A,Carlos,T_00027,89,Magenta,75,1,1,0,0,0.0,699.0,16,1,18-25,1,105.2,0,0.0,340
2025-11-01,Store A,Carlos,T_00028,89,Metro $40,40,0,1,0,0,0.0,999.0,16,1,18-25,1,91.22,0,0.0,340
2025-11-01,Store A,Carlos,T_00029,89,Metro Unlimited,60,0,1,0,1,50.0,199.0,12,1,18-25,1,84.65,1,18.0,340
2025-11-01,Store A,Carlos,T_00030,89,Metro Unlimited,60,0,1,0,1,50.0,499.0,12,1,26-40,0,0.0,1,18.0,340
2025-11-01,Store A,Jasmine,T_00031,89,Metro $40,40,0,1,0,1,50.0,999.0,19,1,41-60,1,76.02,1,18.0,340
2025-11-01,Store A,Carlos,T_00032,89,Magenta,75,1,2,1,0,0.0,699.0,16,1,18-25,1,85.56,0,0.0,340
2025-11-01,Store A,Jasmine,T_00033,89,Magenta MAX,90,1,1,0,0,0.0,299.0,10,1,26-40,1,42.51,1,18.0,340
2025-11-01,Store A,Jasmine,T_00034,89,Metro Unlimited,60,0,1,0,0,0.0,199.0,19,1,18-25,0,0.0,0,0.0,340
2025-11-01,Store B,Marcus,T_00035,115,Metro Unlimited,60,0,1,1,0,0.0,699.0,15,1,41-60,1,36.42,1,18.0,430
2025-11-01,Store B,Marcus,T_00036,115,Metro $40,40,0,2,1,0,0.0,999.0,13,1,18-25,1,57.9,0,0.0,430
2025-11-01,Store B,Tina,T_00037,115,Metro $40,40,0,1,0,0,0.0,699.0,13,1,18-25,1,106.37,0,0.0,430
2025-11-01,Store B,Marcus,T_00038,115,Metro Unlimited,60,0,1,0,0,0.0,199.0,10,1,41-60,0,0.0,0,0.0,430
2025-11-01,Store B,Tina,T_00039,115,Metro Unlimited,60,0,1,0,0,0.0,699.0,12,1,41-60,1,45.39,1,18.0,430
2025-11-01,Store B,Tina,T_00040,115,Metro $40,40,0,1,0,1,50.0,99.0,19,1,26-40,0,0.0,1,18.0,430
2025-11-01,Store B,Marcus,T_00041,115,Metro Unlimited,60,0,1,0,0,0.0,299.0,17,1,41-60,1,96.31,0,0.0,430
2025-11-01,Store B,Tina,T_00042,115,Magenta,75,1,2,0,0,0.0,99.0,16,1,26-40,1,89.59,0,0.0,430
2025-11-01,Store B,Tina,T_00043,115,Metro $40,40,0,1,0,0,0.0,999.0,13,1,41-60,1,26.03,0,0.0,430
2025-11-01,Store B,Marcus,T_00044,115,Metro $40,40,0,1,1,0,0.0,499.0,12,1,26-40,0,0.0,0,0.0,430
2025-11-01,Store B,Tina,T_00045,115,Magenta,75,1,1,0,1,50.0,99.0,16,1,18-25,1,66.95,0,0.0,430
2025-11-01,Store B,Tina,T_00046,115,Metro Unlimited,60,0,1,0,0,0.0,99.0,19,1,41-60,0,0.0,1,18.0,430
2025-11-01,Store B,Tina,T_00047,115,Magenta,75,1,1,0,0,0.0,699.0,14,1,18-25,0,0.0,1,18.0,430
2025-11-01,Store B,Tina,T_00048,115,Magenta MAX,90,1,1,0,0,0.0,999.0,12,1,41-60,0,0.0,1,18.0,430
2025-11-01,Store B,Tina,T_00049,115,Metro $40,40,0,1,0,0,0.0,999.0,19,1,41-60,0,0.0,0,0.0,430
2025-11-01,Store B,Marcus,T_00050,115,Magenta MAX,90,1,1,0,0,0.0,99.0,18,1,41-60,1,117.14,1,18.0,430
2025-11-01,Store B,Tina,T_00051,115,Metro $40,40,0,1,0,1,50.0,499.0,14,1,18-25,1,45.6,1,18.0,430
2025-11-01,Store B,Tina,T_00052,115,Metro Unlimited,60,0,1,0,0,0.0,99.0,20,1,18-25,1,83.91,1,18.0,430
2025-11-01,Store B,Marcus,T_00053,115,Metro Unlimited,60,0,1,0,0,0.0,499.0,11,1,18-25,1,28.07,1,18.0,430
2025-11-01,Store B,Tina,T_00054,115,Magenta,75,1,1,0,0,0.0,699.0,12,1,41-60,1,64.73,0,0.0,430
2025-11-01,Store B,Marcus,T_00055,115,Metro Unlimited,60,0,2,0,0,0.0,99.0,15,1,41-60,0,0.0,0,0.0,430
